Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning,
FUCD221,RC-FIRST USED CIGARETTES DAILY PRIOR TO AGE 21,(IRCDUAGE),2,No (IRCDUAGE>,
FUCGR18,RC-FIRST USED CIGARS PRIOR TO AGE 18,(IRCGRAGE),1,Yes (IRCGRAGE<18),
FUCGR18,RC-FIRST USED CIGARS PRIOR TO AGE 18,(IRCGRAGE),2,No (IRCGRAGE>,
FUCGR21,RC-FIRST USED CIGARS PRIOR TO AGE 21,(IRCGRAGE),1,Yes (IRCGRAGE<21),
FUCGR21,RC-FIRST USED CIGARS PRIOR TO AGE 21,(IRCGRAGE),2,No (IRCGRAGE>,
FUSMKLSS18,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 18,(IRSMKLSSTRY),1,Yes (IRSMKLSSTRY<18),
FUSMKLSS18,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 18,(IRSMKLSSTRY),2,No (IRSMKLSSTRY>,
FUSMKLSS21,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 21,(IRSMKLSSTRY),1,Yes (IRSMKLSSTRY<21),
FUSMKLSS21,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 21,(IRSMKLSSTRY),2,No (IRSMKLSSTRY>,
FUNICVAP18,RC-FIRST VAPED NICOTINE PRIOR TO AGE 18,(IRNICVAPAGE),1,Yes (IRNICVAPAGE<18),
FUNICVAP18,RC-FIRST VAPED NICOTINE PRIOR TO AGE 18,(IRNICVAPAGE),2,No (IRNICVAPAGE>,
FUNICVAP21,RC-FIRST VAPED NICOTINE PRIOR TO AGE 21,(IRNICVAPAGE),1,Yes (IRNICVAPAGE<21),
FUNICVAP21,RC-FIRST VAPED NICOTINE PRIOR TO AGE 21,(IRNICVAPAGE),2,No (IRNICVAPAGE>,
FUALC18,RC-FIRST USED ALCOHOL PRIOR TO AGE 18,(IRALCAGE),1,Yes (IRALCAGE<18),
FUALC18,RC-FIRST USED ALCOHOL PRIOR TO AGE 18,(IRALCAGE),2,No (IRALCAGE>,
FUALC21,RC-FIRST USED ALCOHOL PRIOR TO AGE 21,(IRALCAGE),1,Yes (IRALCAGE<21),
FUALC21,RC-FIRST USED ALCOHOL PRIOR TO AGE 21,(IRALCAGE),2,No (IRALCAGE>,
FUMJ18,RC-FIRST USED MARIJUANA PRIOR TO AGE 18,(IRMJAGE),1,Yes (IRMJAGE<18),
FUMJ18,RC-FIRST USED MARIJUANA PRIOR TO AGE 18,(IRMJAGE),2,No (IRMJAGE>,
FUMJ21,RC-FIRST USED MARIJUANA PRIOR TO AGE 21,(IRMJAGE),1,Yes (IRMJAGE<21),
FUMJ21,RC-FIRST USED MARIJUANA PRIOR TO AGE 21,(IRMJAGE),2,No (IRMJAGE>,
FUCOC18,RC-FIRST USED COCAINE PRIOR TO AGE 18,(IRCOCAGE),1,Yes (IRCOCAGE<18),
FUCOC18,RC-FIRST USED COCAINE PRIOR TO AGE 18,(IRCOCAGE),2,No (IRCOCAGE>,
FUCOC21,RC-FIRST USED COCAINE PRIOR TO AGE 21,(IRCOCAGE),1,Yes (IRCOCAGE<21),
FUCOC21,RC-FIRST USED COCAINE PRIOR TO AGE 21,(IRCOCAGE),2,No (IRCOCAGE>,
FUCRK18,RC-FIRST USED CRACK PRIOR TO AGE 18,(IRCRKAGE),1,Yes (IRCRKAGE<18),
FUCRK18,RC-FIRST USED CRACK PRIOR TO AGE 18,(IRCRKAGE),2,No (IRCRKAGE>,
FUCRK21,RC-FIRST USED CRACK PRIOR TO AGE 21,(IRCRKAGE),1,Yes (IRCRKAGE<21),
FUCRK21,RC-FIRST USED CRACK PRIOR TO AGE 21,(IRCRKAGE),2,No (IRCRKAGE>,
FUHER18,RC-FIRST USED HEROIN PRIOR TO AGE 18,(IRHERAGE),1,Yes (IRHERAGE<18),
FUHER18,RC-FIRST USED HEROIN PRIOR TO AGE 18,(IRHERAGE),2,No (IRHERAGE>,
FUHER21,RC-FIRST USED HEROIN PRIOR TO AGE 21,(IRHERAGE),1,Yes (IRHERAGE<21),
FUHER21,RC-FIRST USED HEROIN PRIOR TO AGE 21,(IRHERAGE),2,No (IRHERAGE>,
FUHALLUC18,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 18,(IRHALLUCAGE),1,Yes (IRHALLUCAGE<18),
FUHALLUC18,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 18,(IRHALLUCAGE),2,No (IRHALLUCAGE>,
FUHALLUC21,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 21,(IRHALLUCAGE),1,Yes (IRHALLUCAGE<21),
FUHALLUC21,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 21,(IRHALLUCAGE),2,No (IRHALLUCAGE>,
FULSD18,RC-FIRST USED LSD PRIOR TO AGE 18,(IRLSDAGE),1,Yes (IRLSDAGE<18),
FULSD18,RC-FIRST USED LSD PRIOR TO AGE 18,(IRLSDAGE),2,No (IRLSDAGE>,
FULSD21,RC-FIRST USED LSD PRIOR TO AGE 21,(IRLSDAGE),1,Yes (IRLSDAGE<21),
FULSD21,RC-FIRST USED LSD PRIOR TO AGE 21,(IRLSDAGE),2,No (IRLSDAGE>,
FUPCP18,RC-FIRST USED PCP PRIOR TO AGE 18,(IRPCPAGE),1,Yes (IRPCPAGE<18),
FUPCP18,RC-FIRST USED PCP PRIOR TO AGE 18,(IRPCPAGE),2,No (IRPCPAGE>,
FUPCP21,RC-FIRST USED PCP PRIOR TO AGE 21,(IRPCPAGE),1,Yes (IRPCPAGE<21),
FUPCP21,RC-FIRST USED PCP PRIOR TO AGE 21,(IRPCPAGE),2,No (IRPCPAGE>,
FUECSTMO18,RC-FIRST USED ECSTASY PRIOR TO AGE 18,(IRECSTMOAGE),1,Yes (IRECSTMOAGE<18),
FUECSTMO18,RC-FIRST USED ECSTASY PRIOR TO AGE 18,(IRECSTMOAGE),2,No (IRECSTMOAGE>,
FUECSTMO21,RC-FIRST USED ECSTASY PRIOR TO AGE 21,(IRECSTMOAGE),1,Yes (IRECSTMOAGE<21),
FUECSTMO21,RC-FIRST USED ECSTASY PRIOR TO AGE 21,(IRECSTMOAGE),2,No (IRECSTMOAGE>,
FUINHAL18,RC-FIRST USED INHALANTS PRIOR TO AGE 18,(IRINHALAGE),1,Yes (IRINHALAGE<18),
FUINHAL18,RC-FIRST USED INHALANTS PRIOR TO AGE 18,(IRINHALAGE),2,No (IRINHALAGE>,
FUINHAL21,RC-FIRST USED INHALANTS PRIOR TO AGE 21,(IRINHALAGE),1,Yes (IRINHALAGE<21),
FUINHAL21,RC-FIRST USED INHALANTS PRIOR TO AGE 21,(IRINHALAGE),2,No (IRINHALAGE>,
FUMETHAM18,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 18,(IRMETHAMAGE),1,Yes (IRMETHAMAGE<18),
FUMETHAM18,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 18,(IRMETHAMAGE),2,No (IRMETHAMAGE>,
FUMETHAM21,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 21,(IRMETHAMAGE),1,Yes (IRMETHAMAGE<21),
FUMETHAM21,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 21,(IRMETHAMAGE),2,No (IRMETHAMAGE>,
FUPNRNM18,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 18,(IRPNRNMAGE),1,Yes (IRPNRNMAGE<18),
FUPNRNM18,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 18,(IRPNRNMAGE),2,No (IRPNRNMAGE>,
FUPNRNM21,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 21,(IRPNRNMAGE),1,Yes (IRPNRNMAGE<21),
FUPNRNM21,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 21,(IRPNRNMAGE),2,No (IRPNRNMAGE>,
FUTRQNM18,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 18,(IRTRQNMAGE),1,Yes (IRTRQNMAGE<18),
FUTRQNM18,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 18,(IRTRQNMAGE),2,No (IRTRQNMAGE>,
FUTRQNM21,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 21,(IRTRQNMAGE),1,Yes (IRTRQNMAGE<21),
FUTRQNM21,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 21,(IRTRQNMAGE),2,No (IRTRQNMAGE>,
FUSTMNM18,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 18,(IRSTMNMAGE),1,Yes (IRSTMNMAGE<18),
FUSTMNM18,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 18,(IRSTMNMAGE),2,No (IRSTMNMAGE>,
FUSTMNM21,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 21,(IRSTMNMAGE),1,Yes (IRSTMNMAGE<21),
FUSTMNM21,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 21,(IRSTMNMAGE),2,No (IRSTMNMAGE>,
FUSEDNM18,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 18,,1,Yes (IRSEDNMAGE<18),
FUSEDNM18,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 18,,2,No (IRSEDNMAGE>=18),
FUSEDNM21,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 21,,1,Yes (IRSEDNMAGE<21),
FUSEDNM21,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 21,,2,No (IRSEDNMAGE>-21),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,.,Unknown (See comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,1,Relieve physical pain (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,2,Relax or relieve tension (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,3,Experiment/see what like (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,4,Feel good/get high (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,5,Help with sleep (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,6,Help with feelings or emotions (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,7,Inc/dec effects oth drg (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,8,Hooked or have to have drug (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,9,Some other reason (see comment above),
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,,10,"Did not misuse in pst 12 mos (PNRRSMAIN=83,91,93)",
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,.,Unknown (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,1,Relieve physical pain (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,2,Relax or relieve tension (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,3,Experiment/see what like (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,4,Feel good/get high (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,5,Help with sleep (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,6,Help with feelings or emotions (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,7,Inc/dec effects oth drg (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,8,Hooked or have to have drug (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,9,Some other reason (see comment above),
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,,10,"Did not misuse in pst 12 mos (PNRRSMAIN=83,91,93)",
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,.,Unknown (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,1,Relieve physical pain (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,2,Relax or relieve tension (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,3,Experiment/see what like (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,4,Feel good/get high (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,5,Help with sleep (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,6,Help with feelings or emotions (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,7,Inc/dec effects oth drg (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,8,Hooked or have to have drug (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,9,Some other reason (see comment above),
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,,10,"Did not misuse in pst 12 mos (PNRRSMAIN=83,91,93)",
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,.,Unknown (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,1,Relieve physical pain (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,2,Relax or relieve tension (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,3,Experiment/see what like (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,4,Feel good/get high (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,5,Help with sleep (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,6,Help with feelings or emotions (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,7,Inc/dec effects oth drg (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,8,Hooked or have to have drug (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,9,Some other reason (see comment above),
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,,10,"Did not misuse in pst 12 mos (PNRRSMAIN=83,91,93)",
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,.,No Past Year Misuse/Unknown/Invalid Source,
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,1,Got From One Doctor,
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,2,Got From More Than One Doctor,
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,3,"Stole from Dr Office, Clinic, Hospital, or Pharmacy",
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,4,Got From Friend or Relative for Free,
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,5,Bought from Friend or Relative,
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,6,Took from Friend or Relative without Asking,
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,7,Bought from Drug Dealer or Other Stranger,
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,,8,Got Some Other Way,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,.,No Past Year Misuse/Unknown/Invalid Source,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,1,Got From One Doctor,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,2,Got From More Than One Doctor,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,3,"Stole from Dr Office, Clinic, Hospital,or Pharmacy",
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,4,Got From Friend or Relative for Free,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,5,Bought from Friend or Relative,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,6,Took from Friend or Relative without Asking,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,7,Bought from Drug Dealer or Other Stranger,
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,,8,Got Some Other Way,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,.,No Past Year Misuse/Unknown/Invalid Source,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,1,Got From One Doctor,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,2,Got From More Than One Doctor,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,3,"Stole from Dr Office, Clinic, Hospital,or Pharmacy",
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,4,Got From Friend or Relative for Free,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,5,Bought from Friend or Relative,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,6,Took from Friend or Relative without Asking,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,7,Bought from Drug Dealer or Other Stranger,
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,,8,Got Some Other Way,
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,.,No Past Year Misuse/Unknown/Invalid Source,
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,1,Got From One Doctor,
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,3,"Stole from Dr Office, Clinic, Hospital,or Pharmacy",
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,4,Got From Friend or Relative for Free,
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,5,Bought from Friend or Relative,
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,6,Took from Friend or Relative without Asking,
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,7,Bought from Drug Dealer or Other Stranger,
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,,8,Got Some Other Way,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,1,Got Prescription(s) from One Doctor,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,2,Got Prescription(s) from More Than One Doctor,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,3,"Stole from Dr Office, Clinic, Hospital,or Pharmacy",
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,4,Got from Friend or Relative for Free,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,5,Bought from Friend or Relative,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,6,Took from Friend or Relative without Asking,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,7,Bought from Drug Dealer or Other Stranger,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,,8,Got Some Other Way,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,1,Got Prescription(s) from One Doctor,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,2,Got Prescription(s) from More Than One Doctor,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,4,Got from Friend or Relative for Free,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,5,Bought from Friend or Relative,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,6,Took from Friend or Relative without Asking,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,7,Bought from Drug Dealer or Other Stranger,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,,8,Got Some Other Way,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,1,Got Prescription(s) from One Doctor,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,2,Got Prescription(s) from More Than One Doctor,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,3,"Stole from Dr Office, Clinic, Hospital,or Pharmacy",
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,4,Got from Friend or Relative for Free,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,5,Bought from Friend or Relative,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,6,Took from Friend or Relative without Asking,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,7,Bought from Drug Dealer or Other Stranger,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,,8,Got Some Other Way,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,1,Got Prescription(s) from One Doctor,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,2,Got Prescription(s) from More Than One Doctor,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,3,"Stole from Dr Office, Clinic, Hospital,or Pharmacy",
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,4,Got from Friend or Relative for Free,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,5,Bought from Friend or Relative,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,6,Took from Friend or Relative without Asking,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,7,Bought from Drug Dealer or Other Stranger,
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,(,8,Got Some Other Way,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,1,Got Prescription(s) from One Doctor,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,2,Got Prescription(s) from More Than One Doctor,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,4,Got from Friend or Relative for Free,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,5,Bought from Friend or Relative,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,6,Took from Friend or Relative without Asking,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,7,Bought from Drug Dealer or Other Stranger,
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,(,8,Got Some Other Way,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,1,Got Prescription(s) from One Doctor,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,2,Got Prescription(s) from More Than One Doctor,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,3,"Stole from Dr Office, Clinic, Hospital,or Pharmacy",
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,4,Got from Friend or Relative for Free,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,5,Bought from Friend or Relative,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,6,Took from Friend or Relative without Asking,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,7,Bought from Drug Dealer or Other Stranger,
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,(,8,Got Some Other Way,
SRCFRSEDNM,RC-SOURCE OF FRIEND/RELATIVE SEDATIVES FOR LAST MISUSE,,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",
SRCFRSEDNM,RC-SOURCE OF FRIEND/RELATIVE SEDATIVES FOR LAST MISUSE,,1,Got Prescription(s) from One Doctor,
