Question_Code,Short_Description,Long_Description,Answer_code,Answer_meaning
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17220,"Clarksburg, WV"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17220,"Clarksburg, WV"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17260,"Clarksdale, MS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17300,"Clarksville, TN-KY"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17300,"Clarksville, TN-KY"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17300,"Clarksville, TN-KY"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17300,"Clarksville, TN-KY"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17340,"Clearlake, CA"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17380,"Cleveland, MS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17420,"Cleveland, TN"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17420,"Cleveland, TN"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17460,"Cleveland-Elyria, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17460,"Cleveland-Elyria, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17460,"Cleveland-Elyria, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17460,"Cleveland-Elyria, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17460,"Cleveland-Elyria, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17500,"Clewiston, FL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17540,"Clinton, IA"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17580,"Clovis, NM"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17620,"Coamo, PR"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17640,"Coco, PR"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17660,"Coeur d'Alene, ID"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17700,"Coffeyville, KS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17740,"Coldwater, MI"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17780,"College Station-Bryan, TX"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17780,"College Station-Bryan, TX"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17780,"College Station-Bryan, TX"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17820,"Colorado Springs, CO"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17820,"Colorado Springs, CO"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17860,"Columbia, MO"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17860,"Columbia, MO"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17860,"Columbia, MO"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17900,"Columbia, SC"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17900,"Columbia, SC"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17900,"Columbia, SC"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17900,"Columbia, SC"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17900,"Columbia, SC"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17900,"Columbia, SC"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17980,"Columbus, GA-AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17980,"Columbus, GA-AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17980,"Columbus, GA-AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17980,"Columbus, GA-AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17980,"Columbus, GA-AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17980,"Columbus, GA-AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",17980,"Columbus, GA-AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",18020,"Columbus, IN"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",18060,"Columbus, MS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",18100,"Columbus, NE"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",18140,"Columbus, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",18140,"Columbus, OH"
