Question_Code,Description,Answer_Code,Answer_Meaning
V1146,V1146 - SES17b: Half of financial support for household?,-2,Refusal
V1146,V1146 - SES17b: Half of financial support for household?,-1,Don't Know
V1146,V1146 - SES17b: Half of financial support for household?,1,Yes
V1146,V1146 - SES17b: Half of financial support for household?,2,No
V1147,V1147 - SES18: Total income from illegal activity,-9,Response missing due to CAPI issue
V1147,V1147 - SES18: Total income from illegal activity,-8,Skipped
V1147,V1147 - SES18: Total income from illegal activity,-2,Refusal
V1147,V1147 - SES18: Total income from illegal activity,-1,Don't Know
V1147,V1147 - SES18: Total income from illegal activity,1,All of it
V1147,V1147 - SES18: Total income from illegal activity,2,Most of it
V1147,V1147 - SES18: Total income from illegal activity,3,Some of it
V1147,V1147 - SES18: Total income from illegal activity,4,Just a little of it
V1148,V1148 - SES19a: Insurance through current employer 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1148,V1148 - SES19a: Insurance through current employer 30 days before arrest: Upcoded version,-8,Skipped
V1148,V1148 - SES19a: Insurance through current employer 30 days before arrest: Upcoded version,-2,Refusal
V1148,V1148 - SES19a: Insurance through current employer 30 days before arrest: Upcoded version,-1,Don't Know
V1148,V1148 - SES19a: Insurance through current employer 30 days before arrest: Upcoded version,1,Yes
V1148,V1148 - SES19a: Insurance through current employer 30 days before arrest: Upcoded version,2,No
V1149,V1149 - SES19b: Insurance purchased from insurance company 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1149,V1149 - SES19b: Insurance purchased from insurance company 30 days before arrest: Upcoded version,-8,Skipped
V1149,V1149 - SES19b: Insurance purchased from insurance company 30 days before arrest: Upcoded version,-2,Refusal
V1149,V1149 - SES19b: Insurance purchased from insurance company 30 days before arrest: Upcoded version,-1,Don't Know
V1149,V1149 - SES19b: Insurance purchased from insurance company 30 days before arrest: Upcoded version,1,Yes
V1149,V1149 - SES19b: Insurance purchased from insurance company 30 days before arrest: Upcoded version,2,No
V1150,V1150 - SES19c: Medicare 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1150,V1150 - SES19c: Medicare 30 days before arrest: Upcoded version,-8,Skipped
V1150,V1150 - SES19c: Medicare 30 days before arrest: Upcoded version,-2,Refusal
V1150,V1150 - SES19c: Medicare 30 days before arrest: Upcoded version,-1,Don't Know
V1150,V1150 - SES19c: Medicare 30 days before arrest: Upcoded version,1,Yes
V1150,V1150 - SES19c: Medicare 30 days before arrest: Upcoded version,2,No
V1151,V1151 - SES19d: Governmental Assistance plan 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1151,V1151 - SES19d: Governmental Assistance plan 30 days before arrest: Upcoded version,-8,Skipped
V1151,V1151 - SES19d: Governmental Assistance plan 30 days before arrest: Upcoded version,-2,Refusal
V1151,V1151 - SES19d: Governmental Assistance plan 30 days before arrest: Upcoded version,-1,Don't Know
V1151,V1151 - SES19d: Governmental Assistance plan 30 days before arrest: Upcoded version,1,Yes
V1151,V1151 - SES19d: Governmental Assistance plan 30 days before arrest: Upcoded version,2,No
V1152,V1152 - SES19e: TRICARE/Military healthcare 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1152,V1152 - SES19e: TRICARE/Military healthcare 30 days before arrest: Upcoded version,-8,Skipped
V1152,V1152 - SES19e: TRICARE/Military healthcare 30 days before arrest: Upcoded version,-2,Refusal
V1152,V1152 - SES19e: TRICARE/Military healthcare 30 days before arrest: Upcoded version,-1,Don't Know
V1152,V1152 - SES19e: TRICARE/Military healthcare 30 days before arrest: Upcoded version,1,Yes
V1152,V1152 - SES19e: TRICARE/Military healthcare 30 days before arrest: Upcoded version,2,No
V1153,V1153 - SES19f: VA healthcare 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1153,V1153 - SES19f: VA healthcare 30 days before arrest: Upcoded version,-8,Skipped
V1153,V1153 - SES19f: VA healthcare 30 days before arrest: Upcoded version,-2,Refusal
V1153,V1153 - SES19f: VA healthcare 30 days before arrest: Upcoded version,-1,Don't Know
V1153,V1153 - SES19f: VA healthcare 30 days before arrest: Upcoded version,1,Yes
V1153,V1153 - SES19f: VA healthcare 30 days before arrest: Upcoded version,2,No
V1154,V1154 - SES19g: Indian Health Service 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1154,V1154 - SES19g: Indian Health Service 30 days before arrest: Upcoded version,-8,Skipped
V1154,V1154 - SES19g: Indian Health Service 30 days before arrest: Upcoded version,-2,Refusal
V1154,V1154 - SES19g: Indian Health Service 30 days before arrest: Upcoded version,-1,Don't Know
V1154,V1154 - SES19g: Indian Health Service 30 days before arrest: Upcoded version,1,Yes
V1154,V1154 - SES19g: Indian Health Service 30 days before arrest: Upcoded version,2,No
V1155,V1155 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Upcoded version,-9,Response missing due to CAPI issue
V1155,V1155 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Upcoded version,-8,Skipped
V1155,V1155 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Upcoded version,-2,Refusal
V1155,V1155 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Upcoded version,-1,Don't Know
V1155,V1155 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Upcoded version,1,Yes
V1155,V1155 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Upcoded version,2,No
V1156,V1156 - SES19a: Insurance through current employer 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1156,V1156 - SES19a: Insurance through current employer 30 days before arrest: Original,-8,Skipped
V1156,V1156 - SES19a: Insurance through current employer 30 days before arrest: Original,-2,Refusal
V1156,V1156 - SES19a: Insurance through current employer 30 days before arrest: Original,-1,Don't Know
V1156,V1156 - SES19a: Insurance through current employer 30 days before arrest: Original,1,Yes
V1156,V1156 - SES19a: Insurance through current employer 30 days before arrest: Original,2,No
V1157,V1157 - SES19b: Insurance purchased from insurance company 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1157,V1157 - SES19b: Insurance purchased from insurance company 30 days before arrest: Original,-8,Skipped
V1157,V1157 - SES19b: Insurance purchased from insurance company 30 days before arrest: Original,-2,Refusal
V1157,V1157 - SES19b: Insurance purchased from insurance company 30 days before arrest: Original,-1,Don't Know
V1157,V1157 - SES19b: Insurance purchased from insurance company 30 days before arrest: Original,1,Yes
V1157,V1157 - SES19b: Insurance purchased from insurance company 30 days before arrest: Original,2,No
V1158,V1158 - SES19c: Medicare 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1158,V1158 - SES19c: Medicare 30 days before arrest: Original,-8,Skipped
V1158,V1158 - SES19c: Medicare 30 days before arrest: Original,-2,Refusal
V1158,V1158 - SES19c: Medicare 30 days before arrest: Original,-1,Don't Know
V1158,V1158 - SES19c: Medicare 30 days before arrest: Original,1,Yes
V1158,V1158 - SES19c: Medicare 30 days before arrest: Original,2,No
V1159,V1159 - SES19d: Governmental Assistance plan 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1159,V1159 - SES19d: Governmental Assistance plan 30 days before arrest: Original,-8,Skipped
V1159,V1159 - SES19d: Governmental Assistance plan 30 days before arrest: Original,-2,Refusal
V1159,V1159 - SES19d: Governmental Assistance plan 30 days before arrest: Original,-1,Don't Know
V1159,V1159 - SES19d: Governmental Assistance plan 30 days before arrest: Original,1,Yes
V1159,V1159 - SES19d: Governmental Assistance plan 30 days before arrest: Original,2,No
V1160,V1160 - SES19e: TRICARE/Military healthcare 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1160,V1160 - SES19e: TRICARE/Military healthcare 30 days before arrest: Original,-8,Skipped
V1160,V1160 - SES19e: TRICARE/Military healthcare 30 days before arrest: Original,-2,Refusal
V1160,V1160 - SES19e: TRICARE/Military healthcare 30 days before arrest: Original,-1,Don't Know
V1160,V1160 - SES19e: TRICARE/Military healthcare 30 days before arrest: Original,1,Yes
V1160,V1160 - SES19e: TRICARE/Military healthcare 30 days before arrest: Original,2,No
V1161,V1161 - SES19f: VA healthcare 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1161,V1161 - SES19f: VA healthcare 30 days before arrest: Original,-8,Skipped
V1161,V1161 - SES19f: VA healthcare 30 days before arrest: Original,-2,Refusal
V1161,V1161 - SES19f: VA healthcare 30 days before arrest: Original,-1,Don't Know
V1161,V1161 - SES19f: VA healthcare 30 days before arrest: Original,1,Yes
V1161,V1161 - SES19f: VA healthcare 30 days before arrest: Original,2,No
V1162,V1162 - SES19g: Indian Health Service 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1162,V1162 - SES19g: Indian Health Service 30 days before arrest: Original,-8,Skipped
V1162,V1162 - SES19g: Indian Health Service 30 days before arrest: Original,-2,Refusal
V1162,V1162 - SES19g: Indian Health Service 30 days before arrest: Original,-1,Don't Know
V1162,V1162 - SES19g: Indian Health Service 30 days before arrest: Original,1,Yes
V1162,V1162 - SES19g: Indian Health Service 30 days before arrest: Original,2,No
V1163,V1163 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Original,-9,Response missing due to CAPI issue
V1163,V1163 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Original,-8,Skipped
V1163,V1163 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Original,-2,Refusal
V1163,V1163 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Original,-1,Don't Know
V1163,V1163 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Original,1,Yes
V1163,V1163 - SES19h: Any other health insurance/coverage plan 30 days before arrest: Original,2,No
V1164,V1164 - SES20a: Eligible for VA health benefits after release,-9,Response missing due to CAPI issue
V1164,V1164 - SES20a: Eligible for VA health benefits after release,-8,Skipped
V1164,V1164 - SES20a: Eligible for VA health benefits after release,-2,Refusal
V1164,V1164 - SES20a: Eligible for VA health benefits after release,-1,Don't Know
V1164,V1164 - SES20a: Eligible for VA health benefits after release,1,Yes
V1164,V1164 - SES20a: Eligible for VA health benefits after release,2,No
V1165,V1165 - SES21: Homeless before age 18,-9,Response missing due to CAPI issue
V1165,V1165 - SES21: Homeless before age 18,-8,Skipped
V1165,V1165 - SES21: Homeless before age 18,-2,Refusal
V1165,V1165 - SES21: Homeless before age 18,-1,Don't Know
V1165,V1165 - SES21: Homeless before age 18,1,Yes
V1165,V1165 - SES21: Homeless before age 18,2,No
V1166,V1166 - SES22: Part of foster home before age 18,-9,Response missing due to CAPI issue
V1166,V1166 - SES22: Part of foster home before age 18,-8,Skipped
V1166,V1166 - SES22: Part of foster home before age 18,-2,Refusal
V1166,V1166 - SES22: Part of foster home before age 18,-1,Don't Know
V1166,V1166 - SES22: Part of foster home before age 18,1,Yes
V1166,V1166 - SES22: Part of foster home before age 18,2,No
V1167,V1167 - SES23: Specify foster home/agency or institution/both,-9,Response missing due to CAPI issue
V1167,V1167 - SES23: Specify foster home/agency or institution/both,-8,Skipped
V1167,V1167 - SES23: Specify foster home/agency or institution/both,-2,Refusal
V1167,V1167 - SES23: Specify foster home/agency or institution/both,-1,Don't Know
V1167,V1167 - SES23: Specify foster home/agency or institution/both,1,Foster Home
V1167,V1167 - SES23: Specify foster home/agency or institution/both,2,Agency or Institution
V1167,V1167 - SES23: Specify foster home/agency or institution/both,3,Both
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,-9,Response missing due to CAPI issue
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,-8,Skipped
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,-2,Refusal
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,-1,Don't Know
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,1,Both Parents (including adoptive or step-parents)
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,2,Mother (including adoptive or stepmother)
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,3,Father (including adoptive or stepfather)
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,4,Split Time Between Both Parents
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,5,Foster Parent(s) / Foster Home
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,6,Grandmother
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,7,Grandfather
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,8,Both Grandparents (including adoptive or step-grandparents)
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,9,Other Relative(s)
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,10,Friends
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,11,Incarcerated
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,12,"Agency or Institution (including mental health facility, group home, residential treatment facility)"
V1168,V1168 - SES24: Who offender lived with mostly before age 18: Upcoded version,13,Someone Else
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,-9,Response missing due to CAPI issue
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,-8,Skipped
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,-2,Refusal
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,-1,Don't Know
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,1,Both Parents (including adoptive or step-parents)
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,2,Mother (including adoptive or stepmother)
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,3,Father (including adoptive or stepfather)
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,4,Split Time Between Both Parents
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,5,Foster Parent(s) / Foster Home
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,6,Grandmother
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,7,Grandfather
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,8,Both Grandparents (including adoptive or step-grandparents)
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,9,Other Relative(s)
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,10,Friends
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,11,Incarcerated
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,12,"Agency or Institution (including mental health facility, group home, residential treatment facility)"
V1169,V1169 - SES24: Who offender lived with mostly before age 18: Original,13,Someone Else
V1170,V1170 - SES25: Welfare/public assistance before age 18,-9,Response missing due to CAPI issue
V1170,V1170 - SES25: Welfare/public assistance before age 18,-8,Skipped
V1170,V1170 - SES25: Welfare/public assistance before age 18,-2,Refusal
V1170,V1170 - SES25: Welfare/public assistance before age 18,-1,Don't Know
V1170,V1170 - SES25: Welfare/public assistance before age 18,1,Yes
V1170,V1170 - SES25: Welfare/public assistance before age 18,2,No
V1171,V1171 - SES26: Lived in public housing before age 18,-9,Response missing due to CAPI issue
V1171,V1171 - SES26: Lived in public housing before age 18,-8,Skipped
V1171,V1171 - SES26: Lived in public housing before age 18,-2,Refusal
V1171,V1171 - SES26: Lived in public housing before age 18,-1,Don't Know
V1171,V1171 - SES26: Lived in public housing before age 18,1,Yes
V1171,V1171 - SES26: Lived in public housing before age 18,2,No
V1172,V1172 - SES27a: Offender's father ever been sentenced/served time,-9,Response missing due to CAPI issue
V1172,V1172 - SES27a: Offender's father ever been sentenced/served time,-8,Skipped
V1172,V1172 - SES27a: Offender's father ever been sentenced/served time,-2,Refusal
V1172,V1172 - SES27a: Offender's father ever been sentenced/served time,-1,Don't Know
V1172,V1172 - SES27a: Offender's father ever been sentenced/served time,1,Yes
V1172,V1172 - SES27a: Offender's father ever been sentenced/served time,2,No
V1173,V1173 - SES27b: Offender's mother ever been sentenced/served time,-9,Response missing due to CAPI issue
V1173,V1173 - SES27b: Offender's mother ever been sentenced/served time,-8,Skipped
V1173,V1173 - SES27b: Offender's mother ever been sentenced/served time,-2,Refusal
V1173,V1173 - SES27b: Offender's mother ever been sentenced/served time,-1,Don't Know
V1173,V1173 - SES27b: Offender's mother ever been sentenced/served time,1,Yes
V1173,V1173 - SES27b: Offender's mother ever been sentenced/served time,2,No
V1174,V1174 - SES27c: Offender's sibling(s) ever been sentenced/served time,-9,Response missing due to CAPI issue
V1174,V1174 - SES27c: Offender's sibling(s) ever been sentenced/served time,-8,Skipped
V1174,V1174 - SES27c: Offender's sibling(s) ever been sentenced/served time,-2,Refusal
V1174,V1174 - SES27c: Offender's sibling(s) ever been sentenced/served time,-1,Don't Know
V1174,V1174 - SES27c: Offender's sibling(s) ever been sentenced/served time,1,Yes
V1174,V1174 - SES27c: Offender's sibling(s) ever been sentenced/served time,2,No
V1175,V1175 - SES27d: Offender's spouses or partners ever been sentenced/served time,-9,Response missing due to CAPI issue
V1175,V1175 - SES27d: Offender's spouses or partners ever been sentenced/served time,-8,Skipped
V1175,V1175 - SES27d: Offender's spouses or partners ever been sentenced/served time,-2,Refusal
V1175,V1175 - SES27d: Offender's spouses or partners ever been sentenced/served time,-1,Don't Know
V1175,V1175 - SES27d: Offender's spouses or partners ever been sentenced/served time,1,Yes
V1175,V1175 - SES27d: Offender's spouses or partners ever been sentenced/served time,2,No
V1176,V1176 - SES27e: Offender's children ever been sentenced/served time,-9,Response missing due to CAPI issue
V1176,V1176 - SES27e: Offender's children ever been sentenced/served time,-8,Skipped
V1176,V1176 - SES27e: Offender's children ever been sentenced/served time,-2,Refusal
V1176,V1176 - SES27e: Offender's children ever been sentenced/served time,-1,Don't Know
V1176,V1176 - SES27e: Offender's children ever been sentenced/served time,1,Yes
V1176,V1176 - SES27e: Offender's children ever been sentenced/served time,2,No
V1177,V1177 - SES_END: Section 3 Socioeconomic Characteristics (SES) End Flag (CAPI variable),-9,Response missing due to CAPI issue
V1177,V1177 - SES_END: Section 3 Socioeconomic Characteristics (SES) End Flag (CAPI variable),-8,Skipped
V1177,V1177 - SES_END: Section 3 Socioeconomic Characteristics (SES) End Flag (CAPI variable),-2,Refusal
V1177,V1177 - SES_END: Section 3 Socioeconomic Characteristics (SES) End Flag (CAPI variable),-1,Don't Know
V1177,V1177 - SES_END: Section 3 Socioeconomic Characteristics (SES) End Flag (CAPI variable),1,Yes
V1178,V1178 - MH_BGN: Section 4 Mental Health Begin Flag (CAPI variable),-9,Response missing due to CAPI issue
V1178,V1178 - MH_BGN: Section 4 Mental Health Begin Flag (CAPI variable),-8,Skipped
V1178,V1178 - MH_BGN: Section 4 Mental Health Begin Flag (CAPI variable),-2,Refusal
V1178,V1178 - MH_BGN: Section 4 Mental Health Begin Flag (CAPI variable),-1,Don't Know
V1178,V1178 - MH_BGN: Section 4 Mental Health Begin Flag (CAPI variable),1,Yes
V1179,V1179 - MH1: Frequency of nervousness past 30 days,-9,Response missing due to CAPI issue
V1179,V1179 - MH1: Frequency of nervousness past 30 days,-8,Skipped
V1179,V1179 - MH1: Frequency of nervousness past 30 days,-2,Refusal
V1179,V1179 - MH1: Frequency of nervousness past 30 days,-1,Don't Know
V1179,V1179 - MH1: Frequency of nervousness past 30 days,1,All of the Time
V1179,V1179 - MH1: Frequency of nervousness past 30 days,2,Most of the Time
V1179,V1179 - MH1: Frequency of nervousness past 30 days,3,Some of the Time
V1179,V1179 - MH1: Frequency of nervousness past 30 days,4,A Little of the Time
V1179,V1179 - MH1: Frequency of nervousness past 30 days,5,None of the Time
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,-9,Response missing due to CAPI issue
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,-8,Skipped
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,-2,Refusal
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,-1,Don't Know
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,1,All of the Time
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,2,Most of the Time
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,3,Some of the Time
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,4,A Little of the Time
V1180,V1180 - MH2: Frequency of hopelessness past 30 days,5,None of the Time
V1181,V1181 - MH3: Frequency of restlessness past 30 days,-9,Response missing due to CAPI issue
V1181,V1181 - MH3: Frequency of restlessness past 30 days,-8,Skipped
V1181,V1181 - MH3: Frequency of restlessness past 30 days,-2,Refusal
V1181,V1181 - MH3: Frequency of restlessness past 30 days,-1,Don't Know
V1181,V1181 - MH3: Frequency of restlessness past 30 days,1,All of the Time
V1181,V1181 - MH3: Frequency of restlessness past 30 days,2,Most of the Time
V1181,V1181 - MH3: Frequency of restlessness past 30 days,3,Some of the Time
V1181,V1181 - MH3: Frequency of restlessness past 30 days,4,A Little of the Time
V1181,V1181 - MH3: Frequency of restlessness past 30 days,5,None of the Time
V1182,V1182 - MH4: Frequency of depression past 30 days,-9,Response missing due to CAPI issue
V1182,V1182 - MH4: Frequency of depression past 30 days,-8,Skipped
V1182,V1182 - MH4: Frequency of depression past 30 days,-2,Refusal
V1182,V1182 - MH4: Frequency of depression past 30 days,-1,Don't Know
V1182,V1182 - MH4: Frequency of depression past 30 days,1,All of the Time
V1182,V1182 - MH4: Frequency of depression past 30 days,2,Most of the Time
V1182,V1182 - MH4: Frequency of depression past 30 days,3,Some of the Time
V1182,V1182 - MH4: Frequency of depression past 30 days,4,A Little of the Time
V1182,V1182 - MH4: Frequency of depression past 30 days,5,None of the Time
V1183,V1183 - MH5: Felt everything was an effort past 30 days,-9,Response missing due to CAPI issue
V1183,V1183 - MH5: Felt everything was an effort past 30 days,-8,Skipped
V1183,V1183 - MH5: Felt everything was an effort past 30 days,-2,Refusal
V1183,V1183 - MH5: Felt everything was an effort past 30 days,-1,Don't Know
V1183,V1183 - MH5: Felt everything was an effort past 30 days,1,All of the Time
V1183,V1183 - MH5: Felt everything was an effort past 30 days,2,Most of the Time
V1183,V1183 - MH5: Felt everything was an effort past 30 days,3,Some of the Time
V1183,V1183 - MH5: Felt everything was an effort past 30 days,4,A Little of the Time
V1183,V1183 - MH5: Felt everything was an effort past 30 days,5,None of the Time
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,-9,Response missing due to CAPI issue
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,-8,Skipped
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,-2,Refusal
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,-1,Don't Know
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,1,All of the Time
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,2,Most of the Time
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,3,Some of the Time
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,4,A Little of the Time
V1184,V1184 - MH6: Frequency of worthlessness past 30 days,5,None of the Time
V1185,V1185 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Upcoded version,-9,Response missing due to CAPI issue
V1185,V1185 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Upcoded version,-8,Skipped
V1185,V1185 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Upcoded version,-2,Refusal
V1185,V1185 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Upcoded version,-1,Don't Know
V1185,V1185 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Upcoded version,1,Yes
V1185,V1185 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Upcoded version,2,No
V1186,V1186 - MH7b: MD diagnosed depressive disorder: Upcoded version,-9,Response missing due to CAPI issue
V1186,V1186 - MH7b: MD diagnosed depressive disorder: Upcoded version,-8,Skipped
V1186,V1186 - MH7b: MD diagnosed depressive disorder: Upcoded version,-2,Refusal
V1186,V1186 - MH7b: MD diagnosed depressive disorder: Upcoded version,-1,Don't Know
V1186,V1186 - MH7b: MD diagnosed depressive disorder: Upcoded version,1,Yes
V1186,V1186 - MH7b: MD diagnosed depressive disorder: Upcoded version,2,No
V1187,V1187 - MH7c: MD diagnosed schizophrenia/other psychotic disorder: Upcoded version,-9,Response missing due to CAPI issue
V1187,V1187 - MH7c: MD diagnosed schizophrenia/other psychotic disorder: Upcoded version,-8,Skipped
V1187,V1187 - MH7c: MD diagnosed schizophrenia/other psychotic disorder: Upcoded version,-2,Refusal
V1187,V1187 - MH7c: MD diagnosed schizophrenia/other psychotic disorder: Upcoded version,-1,Don't Know
V1187,V1187 - MH7c: MD diagnosed schizophrenia/other psychotic disorder: Upcoded version,1,Yes
V1187,V1187 - MH7c: MD diagnosed schizophrenia/other psychotic disorder: Upcoded version,2,No
V1188,V1188 - MH7d: MD diagnosed post-traumatic stress disorder (PTSD): Upcoded version,-9,Response missing due to CAPI issue
V1188,V1188 - MH7d: MD diagnosed post-traumatic stress disorder (PTSD): Upcoded version,-8,Skipped
V1188,V1188 - MH7d: MD diagnosed post-traumatic stress disorder (PTSD): Upcoded version,-2,Refusal
V1188,V1188 - MH7d: MD diagnosed post-traumatic stress disorder (PTSD): Upcoded version,-1,Don't Know
V1188,V1188 - MH7d: MD diagnosed post-traumatic stress disorder (PTSD): Upcoded version,1,Yes
V1188,V1188 - MH7d: MD diagnosed post-traumatic stress disorder (PTSD): Upcoded version,2,No
V1189,V1189 - MH7e: MD diagnosed anxiety disorder: Upcoded version,-9,Response missing due to CAPI issue
V1189,V1189 - MH7e: MD diagnosed anxiety disorder: Upcoded version,-8,Skipped
V1189,V1189 - MH7e: MD diagnosed anxiety disorder: Upcoded version,-2,Refusal
V1189,V1189 - MH7e: MD diagnosed anxiety disorder: Upcoded version,-1,Don't Know
V1189,V1189 - MH7e: MD diagnosed anxiety disorder: Upcoded version,1,Yes
V1189,V1189 - MH7e: MD diagnosed anxiety disorder: Upcoded version,2,No
V1190,V1190 - MH7f: MD diagnosed personality disorder: Upcoded version,-9,Response missing due to CAPI issue
V1190,V1190 - MH7f: MD diagnosed personality disorder: Upcoded version,-8,Skipped
V1190,V1190 - MH7f: MD diagnosed personality disorder: Upcoded version,-2,Refusal
V1190,V1190 - MH7f: MD diagnosed personality disorder: Upcoded version,-1,Don't Know
V1190,V1190 - MH7f: MD diagnosed personality disorder: Upcoded version,1,Yes
V1190,V1190 - MH7f: MD diagnosed personality disorder: Upcoded version,2,No
V1191,V1191 - MH7g: MD diagnosed another mental or emotional condition: Upcoded version,-9,Response missing due to CAPI issue
V1191,V1191 - MH7g: MD diagnosed another mental or emotional condition: Upcoded version,-8,Skipped
V1191,V1191 - MH7g: MD diagnosed another mental or emotional condition: Upcoded version,-2,Refusal
V1191,V1191 - MH7g: MD diagnosed another mental or emotional condition: Upcoded version,-1,Don't Know
V1191,V1191 - MH7g: MD diagnosed another mental or emotional condition: Upcoded version,1,Yes
V1191,V1191 - MH7g: MD diagnosed another mental or emotional condition: Upcoded version,2,No
V1192,V1192 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Original,-9,Response missing due to CAPI issue
V1192,V1192 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Original,-8,Skipped
V1192,V1192 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Original,-2,Refusal
V1192,V1192 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Original,-1,Don't Know
V1192,V1192 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Original,1,Yes
V1192,V1192 - MH7a: MD diagnosed manic depression/bipolar disorder/mania: Original,2,No
V1193,V1193 - MH7b: MD diagnosed depressive disorder: Original,-9,Response missing due to CAPI issue
V1193,V1193 - MH7b: MD diagnosed depressive disorder: Original,-8,Skipped
V1193,V1193 - MH7b: MD diagnosed depressive disorder: Original,-2,Refusal
V1193,V1193 - MH7b: MD diagnosed depressive disorder: Original,-1,Don't Know
V1193,V1193 - MH7b: MD diagnosed depressive disorder: Original,1,Yes
V1193,V1193 - MH7b: MD diagnosed depressive disorder: Original,2,No
V1194,V1194 - MH7c: MD diagnosed schizophrenia/other psychotic disorder: Original,-9,Response missing due to CAPI issue
